id	name	reading	image
135	表筒男命	うわつつのお	
136	天表春命	うわはる	
137	榎本神	えのもと	
138	大麻比古命	おおあさひこ	
139	大神比義命	おおがのひぎのみこと	
140	意富加牟豆美命	おおかむづみ	
141	大口真神	おおぐちまがみ	
142	大国主神	おおくにぬし	
143	大気都比売神	おおげつひめ	
144	大事忍男神	おおごとおしお	
145	大多麻流別命	おおたまるわけ	
146	大年神	おおとし	
147	大年神	おおとしのかみ	
148	意富斗能地神	おおとのぢ	otonoji.png
149	大斗乃弁神	おおとのべ  otonobe.png	
150	大戸日別神	おおとひわけ	
151	大戸惑子神	おおとまとひこのかみ	
152	大戸惑女神	おおとまとひめのかみ	
153	大直毘神	おおなおび	
154	大己貴神	おおなむち	
155	大野手比売	おおぬでひめ	
156	大日孁貴神	おおひるめのむち	
157	大禍津日神	おおまがつひ	
158	大宮能売神	おおみやのめ	
159	大物忌神	おおものいみ	
160	大物主神	おおものぬし	
161	大屋都比賣神	おおやつひめ	
162	大屋毘古神	おおやびこ	
163	大山咋神	おおやまくい	oyamakui.png
164	大山津見神	おおやまつみ	oyamatsumi.png
165	大綿津見神	おおわたつみ	
166	淤加美神	おかみ	
167	淤加美神	おかみのかみ	
168	奥疎神	おきさかる	
169	興玉神	おきたまのかみ	
170	奥津甲斐弁羅神	おきつかいべら	
171	奥津那藝佐毘古神	おきつなぎさひこ	
172	奥山津見神	おくやまつみ	
173	乙子狭姫	おとごさひめ	
174	淤美豆奴神	おみずぬ	
175	思金神	おもいかね	
176	淤母陀琉神	おもだる	
177	迦具土神	かぐつち	
178	風木津別之忍男神	かざけつわけのおしお	
179	春日神	かすが	
180	家宅六神	かたくろくしん	
181	金屋子神	かなやこ	
182	金山彦神	かなやまひこ	
183	金山姫神	かなやまひめ	
184	神直毘神	かみなおびかみ	
185	神皇産霊神	かみむすび	
186	神大市姫神	かむおおいちひめ	
187	神屋楯比売	かむやたてひめ	
188	迦毛大御神	かも	
189	賀茂建角身命	かもたけつぬみ	
190	賀茂玉依姫	かもたまよりひめ	
191	賀茂別雷神	かもわけいかづち	
192	加夜奈留美命	かやなるみ	
193	韓神	から	
194	蚶貝比売	きさがいひめ	
195	木祖神	きのおや	
196	木俣神	きのまた	
197	伎比佐加美高日子命	きひさかみたかひこ	
198	金鵄	きんとび	
199	久延毘古	くえびこ	
200	久久能智神	くくのち	
201	菊理媛神	くくりひめ	kukurihime.png
202	櫛磐間戸神	くしいわまど	
203	櫛玉命	くしたまのみこと	
204	櫛名田姫神	くしなだひめ	kushinadahime.png
205	櫛真智命	くしまち	
206	櫛八玉神	くしやたま	
207	九頭龍大神	くずりゅう	
208	国忍富神	くにおしとみ	
209	国狭槌尊	くにさつち	
210	国魂	くにたま	
211	国之久比奢母智神	くにのくひざもち	
212	国之闇戸神	くにのくらど	
213	国之狭霧神	くにのさぎり	
214	国之狭土神	くにのさづち	
215	国之常立神	くにのとこたち	kuninotokotachi.png
216	国之水分神	くにのみくまり	
217	国御柱命	くにのみはしら	
218	首塚大明神	くびづかだいみょうじん	
219	熊野久須毘命	くまのくすび	
220	熊野速玉男神	くまのはやたまのお	
221	熊野牟須美神	くまのふすみ	
222	闇淤加美神	くらおかみ	
223	闇御津羽神	くらみつは	
224	闇山津見神	くらやまつみ	
225	家都御子神	けつみこ	
226	苔牟須売神	こけむすめ	
227	事解之男神	ことさかのお	
228	事代主神	ことしろぬし	
229	木花知流比売	このはなちるひめ	
230	木花之佐久夜毘売	このはなのさくやびめ	konohanasakuyahime.png
231	賢彦名神	さかしなひこな	
232	前玉比売	さきたまひめ	
233	福井神	さくいのかみ	
234	辟田彦	さくたひこ	
235	辟田姫	さくたひめ	
236	刺国大神	さしくにおおかみ	
237	刺国若比売	さしくにわかひめ	
238	佐保姫	さほひめ	
239	寒川比古命	さむかわひこ	
240	寒川比女命	さむかわひめ	
241	猿田彦	さるたひこ	sarutahiko.png
242	塩土老翁	しおつちのおじ	
243	磯城津彦命	しきつひこ	
244	敷山主神	しきやまぬし	
245	思子淵神	しこぶち	
246	下照姫神	したてるひめ	
247	天下春命	したはる	
248	志那都比古神	しなつひこ	
249	級長戸辺命	しなとべ	
250	白山比咩神	しらやまひめ	
251	須義祢命	すがね	
252	杉原大神	すぎはら	
253	杉原彦	すぎはらひこ	
254	少彦名神	すくなひこな	
255	須佐之男命	すさのお	susanoo.png
256	須勢理毘売命	すせりびめ	
257	須比智邇神	すひぢに	
258	住吉三神	すみよし	
259	瀬織津姫命	せおりつひめ	seoritsuhime.png
260	底筒男命	そこつつのお	
261	高淤加美神	たかおかみ	
262	高照光姫大神命	たかてるひめ	
263	高御産巣日神	たかみむすひ	
264	多岐都比売命	たぎつひめ	takitsuhime.png
265	多紀理毘売命	たきりびめ	tagirihime.png
266	栲幡千千姫命	たくはたちぢひめ	
267	建葉槌命	たけはづち	
268	建比良鳥命	たけひらとり	
269	建御雷神	たけみかづち	
270	建御名方神	たけみなかた	takeminakata.png
271	田心姫神	たごりひめ	
272	手力男命	たぢからお	
273	立速男命	たちはやお	
274	竜田姫	たつたひめ	
275	多邇具久	たにぐく	
276	多比理岐志麻流美神	たひりきしまるみ	
277	玉櫛媛	たまくしひめ	
278	玉祖命	たまのおや	
279	玉依毘売	たまよりびめ	
280	道俣神	ちまたのかみ	
281	撞榊厳魂天疎向津姫命	つきさかきいつみたまあまさかるむかつひめ	
282	月読命	つくよみ	tsukuyomi.png
283	角杙神	つのぐい	
284	都麻津比賣神	つまつひめ	
285	頬那藝神	つらなぎ	
286	頬那美神	つらなみ	
287	手名稚命	てなづち	
288	遠津待根神	とおつまちね	
289	遠津山岬多良斯神	とおつやまさきたらし	
290	時量師神	ときはかし	
291	年神	としがみ	
292	鳥取神	ととり	
293	豊宇気毘売神	とようけびめ	
294	豊雲野神	とよくもの	toyokumono.png
295	豊玉毘売	とよたまびめ	
296	豊日別大神	とよひわけ	
297	鳥鳴海神	とりなるみ	
298	鳥之石楠船神	とりのいわくすふね	
299	ないの神	ないのかみ	
300	直毘神	なおび	
301	長白羽神	ながしらはのかみ	
302	中筒男命	なかつつのお	
303	泣沢女神	なきさわめ	
304	新波陀神	にいはたのかみ	
305	丹生都姫	にうつひめ	
306	饒速日命	にぎはやひ	
307	邇邇芸命	ににぎ	ninigi.png
308	沼河比売	ぬなかわひめ	
309	布忍富鳥鳴海神	ぬのおしとみとりなるみ	
310	波自加弥神	はじかみ	
311	八幡神	はちまん	ojintenno.png
312	埴安神	はにやす	
313	埴安彦神	はにやすひこ	
314	埴山姫神	はにやまひめ	
315	速秋津比古神	はやあきつひこ	
316	速秋津比売神	はやあきつひめ	
317	速佐須良比売神	はやさすらひめ	
318	早池峰大神	はやちね	
319	速甕之多気佐波夜遅奴美神	はやみかのたけさはやじぬみ	
320	祓戸大神	はらえど	
321	日河比売	ひかわひめ	
322	彦狭知命	ひこさち	
323	比佐津媛	ひさつひめ	
324	一言主神	ひとことぬし	
325	肥長比売	ひながひめ	
326	日名照額田毘道男伊許知邇神	ひなてりぬかたびちおいこちに	
327	火之迦具土神	ひのかぐつち	
328	樋速日神	ひはやひ	
329	比々羅木之其花麻豆美神	ひひらぎそのはなまずみ	
330	蛭子神	ひるこ	
331	深淵之水夜礼花神	ふかぶちのみずやれはな	
332	経津主神	ふつぬし	
333	布帝耳神	ふてみみ	
334	布刀玉命	ふとだま	
335	布怒豆怒神	ふぬずぬ	
336	布波能母遅久奴須奴神	ふわのもじくぬすぬ	
337	辺疎神	へさかる	
338	辺津甲斐弁羅神	へつかいべら	
339	辺津那芸佐毘古神	へつなぎさびこ	
340	火遠理命	ほおり	
341	火須勢理命	ほすせり	
342	火照命	ほでり	
343	火雷大神	ほのいかづち	
344	火牟須比・火産霊	ほむすび	
345	禍津日神	まがつひ	
346	真玉著玉之邑日女命	またまつくたまのむらひめ	
347	登美夜毘売	みかしきやひめ	
348	甕主日子神	みかぬしひこ	
349	甕速日神	みかはやひ	
350	水分神	みくまり	
351	御食津神	みけつ	
352	三島神	みしま	
353	溝咋姫神	みぞくいひめ	
354	道乃長乳歯神	みちのながちは	
355	罔象女神	みつはのめ	
356	弥都波能売神	みづはのめ	
357	御年神	みとし	
358	水内神	みのち	
359	水光姫	みひかりひめ	
360	三穂津姫	みほつひめ	
361	観松彦色止命	みまつひこいろと	
362	美呂浪神	みろなみ	
363	武塔神	むとう	
364	胸鉏比売	むなすきひめ	
365	八現津彦命	やあきつひこ	
366	八重事代主神	やえことしろぬし	
367	八河江比売神	やがわえひめ	
368	八意思兼神	やごころおもいかね	
369	八坂刀売神	やさかとめ	
370	八島士奴美神	やしまじぬみ	
371	八島牟遅能神	やしまむじ	
372	八十禍津日神	やそまがつひ	
373	八咫烏	やたがらす	
374	八束水臣津野命	やつかみずおみつぬ	
375	八尋鉾長依日子命	やひろほこながよりひこ	
376	山幸彦	やまさちひこ	
377	山代日子命	やましろひこ	
378	倭大国魂神	やまとおおくにたま	
379	由良比女命	ゆらひめ	
380	予母都志許売	よもつしこめ	
381	若宇加能売神	わかうかのめ	
382	若尽女神	わかつくしひめ	
383	稚日女尊	わかひるめ	
384	和加布都努志能命	わかふつぬし	
385	稚産霊	わくむすび	
386	別雷大神	わけいかつち	
387	和豆良比能宇斯能神	わずらいのうし	
388	綿津見	わたつみ	
